"course_id","user_id","country"
"course1",1,"Netherlands"
"course1",2,"Colombia"
"course1",3,"Brazil"
"course1",4,"Indonesia"
"course1",5,"Brazil"
"course1",6,"United States"
"course1",7,"Brazil"
"course1",8,"United States"
"course1",9,""
"course1",10,"Netherlands"
"course1",11,""
"course1",12,"Mexico"
"course1",13,""
"course1",14,"Moldova"
"course1",15,"India"
"course1",16,"Brazil"
"course1",17,"India"
"course1",18,"Pakistan"
"course1",19,""
"course1",20,"Egypt"
"course1",21,""
"course1",22,""
"course1",23,"Russian Federation"
"course1",24,"Brazil"
"course1",25,""
"course1",26,"Brazil"
"course1",27,"Colombia"
"course1",28,"Canada"
"course1",29,""
"course1",30,"Zambia"
"course1",31,"Hong Kong"
"course1",32,"Sweden"
"course1",33,""
"course1",34,"Egypt"
"course1",35,""
"course1",36,"United States"
"course1",37,"India"
"course1",38,"India"
"course1",39,"India"
"course1",40,"Bangladesh"
"course1",41,"Colombia"
"course1",42,""
"course1",43,"Peru"
"course1",44,"Dominican Republic"
"course1",45,"United States"
"course1",46,"China"
"course1",47,"India"
"course1",48,"Qatar"
"course1",49,"Tanzania"
"course1",50,"Iran"
"course1",51,"Mexico"
"course1",52,"Brazil"
"course1",53,"Brazil"
"course1",54,"India"
"course1",55,""
"course1",56,"South Africa"
"course1",57,""
"course1",58,""
"course1",59,"Lithuania"
"course1",60,"United States"
"course1",61,"United States"
"course1",62,"Canada"
"course1",63,"Viet Nam"
"course1",64,"Brazil"
"course1",65,"United Kingdom"
"course1",66,"India"
"course1",67,""
"course1",68,"India"
"course1",69,""
"course1",70,"South Africa"
"course1",71,""
"course1",72,"United States"
"course1",73,"Turkey"
"course1",74,"France"
"course1",75,"India"
"course1",76,"Turkey"
"course1",77,"United Kingdom"
"course1",78,"United States"
"course1",79,""
"course1",80,""
"course1",81,"United States"
"course1",82,""
"course1",83,"Pakistan"
"course1",84,"India"
"course1",85,""
"course1",86,""
"course1",87,"Australia"
"course1",88,"India"
"course1",89,"Brazil"
"course1",90,"Israel"
"course1",91,"United States"
"course1",92,"Peru"
"course1",93,"Poland"
"course1",94,"Canada"
"course1",95,"Brazil"
"course1",96,"Finland"
"course1",97,"Japan"
"course1",98,""
"course1",99,"India"
"course1",100,"Canada"
"course1",101,"China"
"course1",102,"Colombia"
"course1",103,"Colombia"
"course1",104,"Romania"
"course1",105,""
"course1",106,"Angola"
"course1",107,""
"course1",108,"Pakistan"
"course1",109,"United States"
"course1",110,""
"course1",111,"Brazil"
"course1",112,"Pakistan"
"course1",113,"Sudan"
"course1",114,""
"course1",115,"India"
"course1",116,""
"course1",117,""
"course1",118,"Ecuador"
"course1",119,"Saudi Arabia"
"course1",120,"India"
"course1",121,"Canada"
"course1",122,"Chile"
"course1",123,"Saudi Arabia"
"course1",124,""
"course1",125,""
"course1",126,"Brazil"
"course1",127,"Finland"
"course1",128,"Egypt"
"course1",129,"Brazil"
"course1",130,""
"course1",131,"Peru"
"course1",132,"India"
"course1",133,"Taiwan"
"course1",134,"United States"
"course1",135,"Benin"
"course1",136,"Indonesia"
"course1",137,"Kenya"
"course1",138,"United States"
"course1",139,""
"course1",140,"Canada"
"course1",141,""
"course1",142,""
"course1",143,"France"
"course1",144,""
"course1",145,"Algeria"
"course1",146,""
"course1",147,"Colombia"
"course1",148,""
"course1",149,""
"course1",150,""
"course1",151,""
"course1",152,"India"
"course1",153,"Chile"
"course1",154,""
"course1",155,"United States"
"course1",156,"United States"
"course1",157,"United States"
"course1",158,"Brazil"
"course1",159,"Pakistan"
"course1",160,"Pakistan"
"course1",161,""
"course1",162,"Sweden"
"course1",163,"United States"
"course1",164,"India"
"course1",165,""
"course1",166,""
"course1",167,"Costa Rica"
